(-125,173,-25)
(-125,163,-33)
(-124,168,-28)
(-125,169,-29)
(-133,167,-33)
(-124,162,-30)
(-125,165,-33)
(-127,167,-25)
(-118,166,-30)
(-126,166,-24)
(-108,162,-20)
(-128,164,-40)
(-110,160,-38)
(-110,142,-46)
(-118,148,-42)
(-114,144,-38)
(-110,150,-34)
(-104,140,-30)
(-104,140,-34)
(-97,135,-37)
(-95,133,-33)
(-82,140,-28)
(-85,131,-37)
(-79,133,-41)
(-80,120,-38)
(-77,125,-39)
(-83,123,-39)
(-72,124,-44)
(-73,123,-47)
(-70,120,-44)
(-68,122,-46)
(-65,121,-31)
(-76,116,-34)
(-63,121,-43)
(-58,124,-32)
(-66,130,-30)
(-59,127,-21)
(-60,130,-24)
(-57,129,-31)
(-66,138,-28)
(-57,133,-29)
(-69,127,-27)
(-75,135,-21)
(-86,138,-24)
(-89,141,-27)
(-85,137,-25)
(-81,141,-23)
(-73,131,-23)
(-72,136,-26)
(-74,146,-22)
(-67,145,-17)
(-63,145,-15)
(-70,146,-22)
(-67,133,-21)
(-62,144,-12)
(-70,142,-14)
(-57,135,-23)
(-58,134,-14)
(-63,147,-9)
(-60,156,-2)
(-62,160,12)
(-67,169,17)
(-63,195,27)
(-79,219,35)
(-82,244,50)
(-89,267,43)
(-85,301,43)
(-89,335,49)
(-85,345,39)
(-82,362,36)
(-85,375,33)
(-76,376,34)
(-79,373,35)
(-85,373,31)
(-76,354,42)
(-73,337,47)
(-67,315,49)
(-68,276,54)
(-47,237,55)
(-42,204,44)
(-28,176,28)
(-18,158,16)
(-12,146,4)
(-22,144,-2)
(-19,135,-7)
(-22,130,-18)
(-32,122,-24)
(-38,122,-34)
(-46,104,-40)
(-59,115,-49)
(-71,117,-47)
(-85,129,-49)
(-102,142,-32)
(-110,174,-24)
(-125,205,-13)
(-132,218,-6)
(-132,236,-6)
(-143,257,1)
(-144,274,-4)
(-153,279,-7)
(-159,285,-15)
(-153,293,-11)
(-161,279,-17)
(-164,282,-26)
(-168,254,-22)
(-156,226,-32)
(-137,201,-35)
(-124,158,-36)
(-116,154,-42)
(-110,126,-58)
(-100,128,-58)
(-96,110,-84)
(-101,113,-95)
(-111,109,-105)
(-112,114,-110)
(-122,126,-90)
(-143,149,-77)
(-142,182,-38)
(-141,221,-9)
(-143,251,3)
(-138,276,10)
(-135,301,13)
(-139,317,11)
(-138,340,8)
(-141,361,-5)
(-138,366,-12)
(-145,371,-23)
(-152,358,-30)
(-153,353,-31)
(-160,334,-44)
(-183,301,-61)
(-176,262,-56)
(-170,220,-58)
(-165,185,-87)
(-154,156,-92)
(-138,140,-100)
(-130,132,-96)
(-129,123,-101)
(-125,125,-101)
(-137,131,-97)
(-135,149,-83)
(-140,178,-50)
(-142,220,-22)
(-146,258,-6)
(-147,287,-3)
(-142,330,0)
(-138,348,-6)
(-142,360,-14)
(-154,352,-38)
(-171,331,-51)
(-185,301,-65)
(-186,268,-96)
(-190,224,-94)
(-180,196,-120)
(-179,189,-137)
(-181,191,-143)
(-185,181,-143)
(-192,190,-144)
(-200,208,-134)
(-198,238,-128)
(-194,272,-88)
(-186,310,-86)
(-173,351,-71)
(-166,392,-84)
(-162,420,-104)
(-149,429,-135)
(-161,431,-153)
(-174,416,-170)
(-186,382,-182)
(-199,361,-197)
(-210,340,-214)
(-211,323,-203)
(-212,318,-204)
(-207,295,-209)
(-209,293,-179)
(-215,297,-179)
(-215,303,-157)
(-203,303,-133)
(-192,318,-116)
(-184,330,-98)
(-172,350,-72)
(-164,354,-60)
(-148,370,-50)
(-129,397,-49)
(-113,423,-57)
(-100,454,-72)
(-104,462,-102)
(-115,465,-113)
(-123,453,-129)
(-135,453,-147)
(-151,439,-155)
(-174,404,-176)
(-185,377,-201)
(-199,349,-215)
(-200,334,-220)
(-207,325,-221)
(-211,325,-203)
(-209,321,-185)
(-203,339,-169)
(-200,346,-148)
(-185,357,-123)
(-182,370,-120)
(-171,389,-103)
(-155,397,-99)
(-134,422,-96)
(-131,435,-89)
(-128,444,-104)
(-114,456,-122)
(-132,458,-136)
(-136,452,-154)
(-164,414,-156)
(-190,392,-160)
(-198,358,-168)
(-194,340,-170)
(-212,332,-174)
(-213,309,-171)
(-212,288,-148)
(-204,280,-130)
(-190,280,-102)
(-184,268,-94)
(-181,277,-63)
(-163,275,-37)
(-142,280,-18)
(-136,286,-8)
(-124,300,2)
(-121,311,-1)
(-115,313,9)
(-119,321,9)
(-121,315,-7)
(-109,309,9)
(-112,292,0)
(-111,267,9)
(-101,223,13)
(-88,214,2)
(-62,184,-2)
(-45,159,-17)
(-22,142,-34)
(-20,132,-40)
(-12,116,-44)
(-3,131,-47)
(-4,136,-28)
(-12,136,-22)
