(67,-45,-121)
(65,-59,-125)
(72,-50,-124)
(68,-62,-114)
(71,-47,-119)
(74,-58,-120)
(79,-45,-119)
(66,-44,-122)
(72,-40,-112)
(65,-53,-119)
(68,-44,-106)
(68,-42,-100)
(61,-37,-91)
(55,-33,-81)
(52,-18,-60)
(50,-10,-44)
(45,13,-27)
(43,23,-9)
(45,55,3)
(55,75,31)
(67,119,41)
(77,153,43)
(95,203,45)
(104,238,34)
(112,272,10)
(100,282,10)
(82,298,-8)
(62,300,-24)
(54,296,-28)
(30,296,-38)
(21,273,-35)
(2,258,-32)
(-7,235,-29)
(-6,206,-22)
(-6,176,-18)
(-2,150,-2)
(2,124,6)
(19,91,5)
(34,62,6)
(40,36,2)
(63,11,-13)
(71,-13,-47)
(90,-42,-70)
(106,-50,-96)
(110,-62,-112)
(104,-72,-144)
(82,-64,-156)
(73,-59,-173)
(31,-39,-171)
(2,-20,-172)
(-29,3,-151)
(-29,13,-133)
(-44,36,-106)
(-52,60,-82)
(-40,78,-44)
(-40,90,-36)
(-29,137,-9)
(-6,174,0)
(19,213,13)
(43,261,11)
(65,283,-9)
(60,300,-16)
(62,312,-24)
(50,302,-20)
(50,288,-18)
(43,255,-5)
(42,232,14)
(39,191,29)
(55,153,35)
(56,98,32)
(82,58,22)
(82,12,0)
(80,-14,-24)
(73,-19,-57)
(70,-50,-86)
(42,-34,-108)
(13,-11,-95)
(-12,14,-82)
(-13,37,-45)
(-7,69,-31)
(14,100,10)
(27,133,27)
(60,166,46)
(87,221,49)
(123,255,19)
(130,310,2)
(147,335,-45)
(135,359,-73)
(124,368,-88)
(105,371,-121)
(78,372,-124)
(50,364,-150)
(28,348,-168)
(6,332,-166)
(-15,311,-155)
(-30,292,-136)
(-42,262,-116)
(-45,227,-91)
(-35,197,-63)
(-34,170,-40)
(-13,169,-29)
(-14,160,-14)
(1,175,-3)
(8,206,0)
(39,211,7)
(67,259,1)
(93,279,-3)
(119,317,-19)
(137,333,-41)
(150,348,-64)
(175,363,-103)
(190,372,-136)
(197,387,-169)
(194,382,-194)
(172,392,-214)
(153,379,-227)
(124,378,-246)
(89,365,-261)
(69,353,-255)
(50,344,-258)
(26,336,-262)
(4,314,-246)
(-12,304,-230)
(-33,291,-209)
(-47,271,-185)
(-39,265,-155)
(-47,251,-131)
(-47,243,-111)
(-50,228,-86)
(-39,227,-69)
(-21,247,-53)
(-13,253,-61)
(17,283,-49)
(38,302,-50)
(67,333,-57)
(101,349,-71)
(132,364,-98)
(151,373,-121)
(162,388,-154)
(164,378,-172)
(143,383,-199)
(125,383,-221)
(95,375,-229)
(78,362,-238)
(43,351,-241)
(21,337,-227)
(-21,307,-205)
(-38,272,-184)
(-53,245,-169)
(-56,238,-158)
(-55,229,-137)
(-54,242,-128)
(-33,273,-117)
(-9,287,-105)
(25,317,-99)
(55,345,-97)
(81,361,-101)
(106,358,-110)
(141,373,-121)
(165,377,-139)
(180,376,-164)
(187,385,-183)
(190,384,-202)
(191,385,-221)
(175,373,-231)
(137,377,-251)
(113,367,-259)
(82,354,-268)
(57,353,-255)
(30,332,-244)
(3,315,-249)
(-14,292,-238)
(-31,279,-231)
(-43,259,-209)
(-57,247,-195)
(-57,227,-167)
(-63,203,-141)
(-60,174,-116)
(-59,151,-83)
(-45,133,-63)
(-36,114,-44)
(-18,96,-34)
(1,81,-17)
(17,81,-1)
(33,85,9)
(58,76,22)
(73,81,25)
(87,81,35)
(101,83,39)
(107,95,45)
(137,111,47)
(139,109,57)
(156,120,58)
(150,132,58)
(161,143,51)
(168,152,50)
(166,160,52)
(171,165,49)
(170,172,54)
(176,184,48)
(177,187,45)
(175,185,55)
(180,192,48)
(174,204,48)
(177,207,39)
(187,211,49)
(179,211,41)
(184,212,42)
(187,215,41)
(194,206,42)
(202,212,44)
(200,200,40)
(201,199,47)
(210,186,40)
(210,166,44)
(199,167,45)
(202,152,40)
(210,154,48)
(205,147,41)
(213,137,45)
(212,126,48)
(195,113,49)
(192,102,40)
(187,107,45)
(180,88,32)
(160,78,36)
(162,66,36)
(157,63,35)
(142,56,30)
(133,45,25)
(117,43,17)
(120,46,16)
(108,42,12)
(89,37,1)
(82,34,-2)
(60,18,-12)
(52,38,-22)
(47,35,-15)
(25,37,-29)
(11,53,-31)
(-6,62,-46)
(-16,76,-54)
(-21,87,-59)
(-36,100,-78)
(-43,113,-87)
(-51,135,-89)
(-54,154,-104)
(-51,165,-113)
(-47,199,-125)
(-47,227,-129)
(-43,235,-141)
(-36,252,-134)
(-17,273,-141)
(-24,286,-144)
(-9,303,-153)
(5,317,-139)
(17,327,-151)
(30,346,-150)
(45,345,-165)
(59,357,-155)
(67,355,-151)
(76,352,-142)
(75,353,-121)
(66,344,-110)
(57,327,-91)
(39,297,-55)
(35,261,-33)
(27,231,-17)
(27,201,-11)
(26,162,2)
(37,139,-1)
(24,108,2)
(23,79,-21)
(27,55,-23)
(28,40,-30)
(27,31,-41)
(39,1,-51)
(46,-14,-76)
(52,-42,-106)
(58,-46,-116)
(72,-58,-170)
(74,-56,-204)
(84,-50,-230)
(84,-50,-258)
(89,-33,-289)
(93,-19,-319)
(98,-6,-344)
(97,17,-367)
(100,34,-392)
(110,50,-398)
(107,63,-405)
(113,83,-413)
(125,101,-419)
(136,110,-432)
(145,115,-441)
(178,124,-448)
(215,117,-441)
(232,122,-434)
(254,118,-426)
(265,121,-413)
(281,117,-403)
(281,119,-401)
(290,124,-404)
(282,130,-390)
(285,131,-405)
(276,122,-410)
(273,115,-417)
(261,119,-437)
(248,120,-428)
(235,127,-443)
(208,134,-454)
(181,129,-447)
(150,102,-436)
(129,73,-421)
(106,46,-396)
(91,29,-373)
(106,2,-360)
(104,-18,-334)
(100,-30,-308)
(105,-39,-287)
(110,-56,-268)
(120,-54,-250)
(138,-66,-228)
(147,-69,-209)
(158,-68,-186)
(176,-62,-154)
(179,-63,-153)
(181,-53,-145)
(173,-63,-155)
(169,-65,-163)
(164,-60,-168)
(145,-69,-201)
(139,-67,-215)
(121,-53,-247)
(119,-39,-291)
(123,-31,-327)
(122,0,-370)
(128,30,-396)
(137,51,-415)
(163,65,-423)
(185,91,-435)
(201,99,-435)
(215,101,-431)
(219,101,-423)
(235,101,-417)
(239,105,-413)
(247,105,-403)
(258,104,-388)
(278,104,-374)
(290,100,-372)
(301,89,-349)
(317,77,-339)
(315,79,-333)
(328,74,-314)
(334,60,-304)
(344,68,-308)
(341,57,-299)
(343,69,-295)
(339,71,-301)
(336,72,-308)
(330,70,-318)
(314,52,-332)
(315,53,-331)
(305,47,-341)
(282,32,-338)
(267,17,-357)
(255,7,-355)
(230,-8,-360)
(200,-28,-352)
(181,-27,-349)
(167,-39,-327)
(151,-45,-321)
(134,-54,-306)
(121,-49,-289)
(108,-54,-274)
(105,-71,-259)
(97,-69,-235)
(91,-65,-221)
(91,-65,-211)
(91,-75,-195)
(80,-68,-176)
(80,-70,-150)
(81,-65,-129)
(75,-53,-103)
(74,-48,-80)
(78,-38,-60)
(79,-25,-39)
(82,-8,-18)
(86,10,-6)
(95,25,9)
(90,54,28)
(96,72,36)
(104,88,36)
(112,114,48)
(124,156,54)
(123,185,53)
(124,218,44)
(116,248,34)
(104,288,12)
(78,314,-22)
(88,348,-52)
(71,355,-79)
(76,362,-118)
(68,360,-126)
(69,373,-139)
(84,374,-160)
(77,379,-183)
(70,382,-206)
(66,374,-218)
(64,368,-248)
(64,370,-260)
(68,350,-278)
(53,337,-291)
(46,330,-310)
(44,322,-322)
(39,303,-337)
(39,285,-339)
(32,268,-346)
(24,254,-358)
(16,228,-364)
(10,220,-354)
(22,214,-370)
(32,228,-372)
(36,228,-378)
(55,231,-385)
(75,235,-389)
(70,236,-390)
(74,236,-390)
(79,233,-393)
(89,243,-391)
(82,242,-394)
(91,255,-385)
(86,264,-386)
(77,259,-377)
(69,259,-379)
(55,251,-369)
(36,256,-372)
(34,254,-356)
(16,252,-342)
(7,239,-347)
(-8,248,-334)
(-19,243,-325)
(-23,239,-315)
(-32,242,-302)
(-34,242,-298)
(-38,238,-302)
(-36,232,-286)
(-43,235,-285)
(-49,243,-267)
(-51,241,-257)
(-47,235,-243)
(-63,229,-235)
(-58,228,-228)
(-57,223,-223)
(-65,227,-213)
(-62,222,-210)
(-57,223,-207)
(-63,231,-207)
(-75,223,-211)
(-65,231,-219)
(-61,237,-245)
(-50,236,-246)
(-42,234,-266)
(-42,250,-284)
(-36,250,-294)
(-33,247,-303)
(-30,238,-310)
(-18,244,-316)
(-26,240,-298)
(-34,248,-292)
(-39,241,-275)
(-44,240,-262)
(-53,247,-251)
(-51,239,-245)
(-61,239,-235)
(-62,230,-228)
(-62,230,-218)
(-50,230,-208)
(-66,228,-198)
(-66,226,-184)
(-65,219,-187)
(-72,216,-184)
(-67,215,-173)
(-70,216,-170)
(-72,206,-164)
(-70,216,-158)
(-73,205,-153)
(-78,206,-150)
(-74,202,-150)
(-67,199,-155)
(-64,202,-154)
(-66,200,-154)
(-68,214,-150)
(-68,228,-160)
(-69,229,-153)
(-62,250,-160)
(-51,251,-157)
(-53,275,-151)
(-38,278,-162)
(-52,278,-158)
(-38,276,-162)
(-39,287,-155)
(-34,282,-154)
(-46,282,-146)
(-40,272,-150)
(-48,270,-148)
(-51,263,-143)
(-57,257,-151)
(-46,242,-136)
(-53,245,-141)
(-58,246,-132)
(-56,244,-140)
(-56,246,-136)
(-51,247,-131)
(-56,240,-128)
(-56,244,-128)
(-57,221,-127)
(-58,230,-118)
(-52,220,-120)
(-54,224,-116)
(-59,215,-111)
(-53,207,-113)
(-57,203,-97)
(-59,193,-95)
(-57,177,-93)
(-59,191,-97)
(-63,207,-107)
(-60,212,-128)
(-70,238,-150)
(-65,251,-161)
(-57,261,-175)
(-45,269,-181)
(-30,294,-192)
(-31,297,-185)
(-26,304,-196)
(-15,323,-195)
(-8,336,-180)
(5,349,-177)
(13,349,-175)
(22,362,-172)
(32,354,-162)
(36,370,-152)
(58,372,-146)
(63,375,-157)
(43,373,-193)
(47,361,-203)
(26,350,-210)
(1,333,-223)
(-12,302,-226)
(-40,278,-208)
(-52,262,-204)
(-64,238,-176)
(-65,227,-131)
(-55,217,-107)
(-43,231,-75)
(-31,255,-61)
(-20,260,-56)
(-4,292,-64)
(9,311,-73)
(20,334,-102)
(24,344,-128)
(21,361,-147)
(34,352,-164)
(28,352,-196)
(14,344,-206)
(-2,332,-210)
(-18,312,-200)
(-36,280,-186)
(-42,256,-162)
(-57,247,-153)
(-43,239,-109)
(-44,244,-94)
(-29,251,-71)
(-32,244,-60)
(-22,252,-56)
(-9,273,-73)
(8,312,-98)
(20,346,-112)
(45,361,-135)
(63,377,-145)
(41,357,-167)
(24,340,-172)
(1,331,-171)
(-18,312,-162)
(-37,281,-137)
(-57,239,-133)
(-74,204,-122)
(-65,161,-101)
(-55,129,-77)
(-63,95,-77)
(-35,61,-89)
(-37,49,-91)
(-20,28,-96)
(-13,1,-113)
(-7,-17,-121)
(5,-27,-141)
(16,-48,-158)
(36,-60,-166)
(60,-64,-190)
(68,-58,-218)
(94,-68,-238)
(122,-68,-266)
(135,-61,-291)
(158,-44,-318)
(168,-34,-342)
(175,-17,-351)
(192,-2,-372)
(202,30,-388)
(220,40,-402)
(233,63,-403)
(222,84,-414)
(229,109,-419)
(227,117,-419)
(226,126,-426)
(225,145,-419)
(231,157,-423)
(233,167,-433)
(228,186,-430)
(235,201,-425)
(237,213,-425)
(234,228,-430)
(230,236,-438)
(222,240,-432)
(223,245,-433)
(210,254,-428)
(211,257,-441)
(199,257,-433)
(203,257,-437)
(204,260,-436)
(208,256,-434)
(209,247,-439)
(226,248,-422)
(225,237,-441)
(249,223,-431)
(253,211,-429)
(242,208,-416)
(260,208,-420)
(239,209,-431)
(223,225,-425)
(209,225,-427)
(204,228,-434)
(202,244,-430)
(215,245,-427)
(213,237,-441)
(218,218,-436)
(222,206,-432)
(221,177,-433)
(219,167,-429)
(218,146,-442)
(238,142,-424)
(234,134,-418)
(229,155,-433)
(213,167,-431)
(219,187,-423)
(221,197,-435)
(223,195,-427)
(221,201,-429)
(221,189,-429)
(217,171,-429)
(215,135,-431)
(216,128,-430)
(212,104,-418)
(223,95,-413)
(236,102,-418)
