(229,177,63)
(224,176,60)
(231,179,73)
(221,175,63)
(234,174,68)
(234,190,74)
(220,188,66)
(226,178,66)
(226,180,68)
(227,175,73)
(232,178,70)
(217,185,67)
(230,182,66)
(228,180,66)
(225,177,69)
(223,181,73)
(225,175,71)
(226,186,70)
(219,175,67)
(228,180,66)
(227,177,63)
(223,189,67)
(224,186,76)
(225,181,69)
(217,183,63)
(235,189,73)
(234,190,66)
(228,198,64)
(234,210,66)
(238,210,58)
(242,220,50)
(237,229,51)
(235,243,51)
(231,251,51)
(233,257,51)
(217,245,51)
(219,231,61)
(211,213,61)
(216,200,70)
(212,178,70)
(205,157,73)
(203,143,77)
(200,116,72)
(184,104,68)
(170,82,68)
(156,74,62)
(145,63,67)
(115,63,55)
(82,50,42)
(56,46,36)
(29,49,11)
(-2,40,-8)
(-37,47,-55)
(-64,50,-84)
(-85,79,-139)
(-99,111,-167)
(-99,125,-195)
(-92,132,-212)
(-90,140,-234)
(-91,145,-241)
(-89,157,-255)
(-94,152,-250)
(-88,160,-248)
(-84,144,-246)
(-92,144,-248)
(-87,147,-257)
(-86,144,-254)
(-91,139,-255)
(-93,131,-231)
(-97,163,-195)
(-106,192,-178)
(-99,197,-157)
(-94,214,-146)
(-89,193,-117)
(-98,172,-128)
(-88,122,-108)
(-87,97,-105)
(-78,74,-86)
(-55,41,-81)
(-49,21,-79)
(-43,25,-79)
(-49,17,-83)
(-39,23,-73)
(-38,16,-74)
(-43,29,-73)
(-41,21,-75)
(-36,14,-76)
(-32,14,-62)
(-45,17,-67)
(-46,34,-74)
(-49,27,-73)
(-47,37,-69)
(-51,35,-57)
(-49,31,-83)
(-62,22,-108)
(-56,14,-126)
(-63,11,-157)
(-51,13,-171)
(-52,14,-196)
(-50,12,-238)
(-41,29,-275)
(-27,35,-311)
(-13,45,-341)
(7,75,-369)
(17,101,-401)
(36,136,-414)
(35,173,-419)
(57,189,-425)
(52,216,-428)
(67,235,-433)
(67,247,-429)
(77,269,-405)
(93,283,-417)
(98,298,-406)
(95,319,-393)
(113,337,-389)
(116,346,-368)
(113,357,-355)
(115,369,-351)
(111,373,-333)
(109,375,-325)
(93,383,-315)
(95,389,-317)
(88,380,-310)
(76,368,-330)
(63,357,-347)
(55,343,-359)
(52,322,-364)
(37,289,-377)
(13,259,-381)
(-21,225,-373)
(-37,191,-355)
(-43,175,-347)
(-47,153,-335)
(-72,138,-318)
(-73,119,-297)
(-84,102,-264)
(-73,73,-221)
(-79,57,-183)
(-72,38,-142)
(-57,35,-109)
(-54,36,-76)
(-24,28,-38)
(-1,39,-13)
(14,38,22)
(39,57,35)
(63,69,43)
(93,87,65)
(123,121,75)
(156,144,80)
(190,184,70)
(211,215,67)
(221,251,45)
(233,265,39)
(235,295,19)
(233,313,1)
(232,336,-6)
(233,353,-13)
(222,366,-44)
(208,384,-68)
(202,392,-80)
(192,400,-108)
(175,413,-129)
(157,413,-157)
(154,414,-186)
(134,416,-216)
(109,409,-251)
(104,406,-264)
(98,388,-294)
(89,379,-311)
(89,365,-337)
(90,360,-352)
(85,337,-371)
(89,317,-385)
(98,316,-386)
(96,320,-392)
(102,332,-382)
(121,341,-373)
(137,357,-353)
(151,385,-327)
(171,401,-277)
(180,420,-230)
(192,422,-180)
(189,417,-133)
(191,389,-79)
(184,370,-28)
(182,342,-2)
(174,314,22)
(157,285,49)
(154,270,58)
(125,241,77)
(108,216,84)
(80,224,72)
(87,239,79)
(123,271,69)
(160,306,44)
(183,345,15)
(192,366,-18)
(205,375,-45)
(179,383,-47)
(139,363,-17)
(124,332,12)
(119,299,37)
(125,271,61)
(121,253,73)
(128,230,74)
(147,235,83)
(166,254,74)
(187,271,63)
(212,292,40)
(219,319,25)
(211,319,17)
(196,308,24)
(175,303,43)
(154,264,68)
(123,225,79)
(115,183,87)
(94,136,86)
(79,133,81)
(74,118,70)
(45,101,53)
(16,90,36)
(-13,75,1)
(-44,66,-38)
(-72,72,-82)
(-91,73,-125)
(-92,96,-174)
(-98,118,-224)
(-87,149,-265)
(-80,166,-306)
(-49,197,-343)
(-19,217,-355)
(9,233,-385)
(25,251,-397)
(40,258,-398)
(23,239,-399)
(8,214,-392)
(-19,171,-373)
(-23,135,-359)
(-36,86,-322)
(-35,35,-293)
(-32,-10,-230)
(-10,-50,-194)
(24,-62,-146)
(72,-72,-106)
(119,-73,-63)
(172,-64,-42)
(225,-31,-5)
(265,23,1)
(315,71,1)
(322,136,2)
(345,171,-13)
(347,223,-31)
(344,274,-52)
(334,304,-72)
(322,348,-112)
(312,368,-142)
(290,378,-154)
(289,377,-153)
(307,355,-129)
(318,336,-100)
(332,314,-62)
(328,280,-34)
(334,250,-16)
(324,220,-4)
(312,182,22)
(308,162,32)
(291,125,27)
(283,91,37)
(265,69,35)
(252,44,24)
(235,31,25)
(228,10,20)
(182,-8,18)
(157,-25,-5)
(124,-38,-14)
(85,-41,-41)
(61,-51,-67)
(35,-53,-89)
(8,-50,-128)
(-5,-37,-165)
(-16,-20,-208)
(-13,-11,-257)
(-23,9,-299)
(-13,33,-329)
(-1,67,-367)
(29,99,-399)
(54,120,-420)
(90,144,-438)
(99,167,-437)
(128,186,-436)
(125,187,-441)
(106,194,-452)
(84,164,-438)
(44,158,-420)
(13,135,-407)
(-13,95,-367)
(-36,64,-338)
(-44,40,-300)
(-40,16,-270)
(-34,0,-232)
(-21,-37,-191)
